,商品名,商品説明,価格,URL,画像URL,出品者
81,902)MacBook Pro 13インチ 2020 i5-16GB-512GB,"2020年大容量モデル! 902) Apple MacBook Pro 13インチ 2020 Core i5 2.0GHz/RAM16GB/SSD512GB(140902)

ご覧いただきありがとうございます。
丁寧な対応を心掛けますので、どうぞ宜しくお願い致します。

多少の擦れ・小傷がございます品です。
キーボードは一部にテカリがございます。

初期化済みでOSは最新版のMac OS 14 Sonomaです。
アクティベーションロック解除確認済みです。
動作は快調で、現状特に気になる点はございません。正常に使用できます。
動作確認のため下記の情報で初期化後に一度セットアップしております。

ユーザー名：USER
パスワード：1234

出品物は本体と純正ACアダプター充電器、ケーブルです。

バッテリーは「正常」で充放電回数 658回、完全充電時の容量は4243mAhです。

＊バッテリーは出品掲載時の情報となります。出荷までにステータスや回数が変更となる可能性がございます。消耗部品につき保証対象外とさせていただいております。
＊液晶表示につきましては経年劣化による若干の色ムラ・照度ムラがある場合がございます。

商品到着後3日間を初期不良期間として対応させて頂きます。
底面に一箇所セキュリティシールを貼っております。剥がした場合は保証対応出来ませんので、動作確認が済むまで剥がさないようにご注意ください。

【商品スペック】
■メーカー：Apple
■商品名：MacBook Pro
■モニター：Retina 13.3 インチ （2560x1600）
■OS：Mac OS 14  Sonoma
■CPU：Core i5 2.0GHz 
■SSD：フラッシュストレージ 512GB
■メモリ：16GB
■グラフィック：Intel Iris Plus Graphics
■キーボード ： 日本語（JIS）配列 （バックライト付き）
■カラー：シルバー

＊ご希望があれば下記のOfficeソフトをインストールして出荷させて頂きます。
LibreOffice（リブレオフィス）

Microsoft Office と互換性のあるオフィスソフトです。
Word/Excel/Powerpoint/Accessファイルを互換使用可能です。","61,800",https://jp.mercari.com/item/m58700447364,https://static.mercdn.net/item/detail/orig/photos/m58700447364_1.jpg?1722661857,mainn_1234
82,macbook pro 2020 13インチ　i7/16gb/512gb,"非常にキレイな美品かと思います。
この値段値下げは考えておりませんので、ご了承下さい。
その他ご質問等ございましたら遠慮なくお申し付け下さい

中古品となります。最後までお読みの上ご購入をお願いいたします。


■スペック

　macbook pro 2020年式　13インチ　スペースグレー

ディスプレイ
　Retinaディスプレイ
　IPSテクノロジー搭載13.3インチ（対角）LEDバックライト　　　　
　ディスプレイ、2,560 x 1,600ピクセル標準解像度

プロセッサ
　Intel Core i7

ストレージ
　512gb SSD

メモリ
　16GB

充電と拡張性
　4つのThunderbolt 3（USB-C）ポート

■充電回数
　167回（正常）発送迄に少し変動する可能性あり

■付属品
　純正充電器



キーボード、ディスプレイ、wifi接続、スピーカー、アクティベーションと基本的な動作確認を行い発送させて頂きます。
もし万が一不具合がございましたら、必ず受け取りをされる前にご連絡をお願いいたします。
バッテリーに関しましては、消耗品となりますので、保証は出来かねるところがございます。
発送は土曜日になりますので、予めご了承ください。


MacBook Pro 
2016 2017 2018 2019 2020
13 15 inch
256

シリーズ···Macbook Pro
ディスプレイサイズ···13インチ
Pro/モデル名···2020
仕上げ···スペースグレイ","76,000",https://jp.mercari.com/item/m12924138836,https://static.mercdn.net/item/detail/orig/photos/m12924138836_1.jpg?1721226113,金　欠男
83,MacBook Pro 2020 13インチ/16GB/512GB/i5,"シリーズ···Macbook Pro

ディスプレイサイズ···13インチ

Pro/モデル名···2020

仕上げ···シルバー

メモリ…16GB

SSD…512GB

CPU…Intel core i5 (10世代)

出品物　下記全て
MacBookPro本体
充電器/ケーブル
外箱
新品保護フィルム


2020年10月19日にAmazonにて20万で新品購入。
下記購入した商品ページです。
https://www.amazon.co.jp/gp/product/B08837S8QQ
2020〜2022年辺りまで本格的にプログラミング関連で使用。
購入直後に保護フィルムを画面、タッチバー、タッチパッドに貼っていました。
目立つ傷としては画面上部のフレーム部分にあります。(画像3枚目)
外箱は押入れに放置していた為劣化しています。
充電器ケーブル関連もそれなりに使用感あります。

キーボードやタッチパッド、タッチバーは使わずに外部ディスプレイ、Magic Keyboard、Magic Mouseを使用していたので改めて見ると中々美品です。



※
動作についてですが、
最近触っていなかった為初期化はできましたが、
万が一、動作不良を起こした場合基本的に返品対応しますので受取評価は動作確認を良くとってから行って下さい。
受取評価すると返品できないみたいですので、
受取評価後の返品申込はお控え下さい。
返品時の送料はご負担下さい。
意図的に壊したり、別のジャンク品にすり替え、此方に落ち度が無い理由での返品は対応はしません。","59,800",https://jp.mercari.com/item/m35009844073,https://static.mercdn.net/item/detail/orig/photos/m35009844073_1.jpg?1718552510,XIN
84,"Apple Macbook Pro 13インチ, 2020 (Intel)","Apple MacBook Pro (13-inch, 2020, Thunderbolt 3ポートx4)

動作確認済みです。
初期化してOS再インストール後の初期状態で出品します。

【状態】
右側のスピーカーの穴に汚れが詰まっています。
傷は角が一部欠けている程度です。（ズームアップした写真参考）

【仕様詳細】
ディスプレイサイズ: 13インチ
プロセッサ: 2.3GHz クアッドコア Intel Core i7
メモリ: 16GB 3733MHz LPDDR4X
ストレージ:1TB SSD

【バッテリー情報】
完全充電時の充電容量(mAh): 4274
充放電回数: 436
状態: 正常
アンペア数(mA): -984
電圧数(mV): 11972","66,000",https://jp.mercari.com/item/m57082483141,https://static.mercdn.net/item/detail/orig/photos/m57082483141_1.jpg?1718468545,めたい
85,592) WinもMacBook Pro 13インチ2020/i7/16/512,"（592)Windowsもインストール Apple MacBook Pro 13インチ 2020 Core i7 2.3GHz/RAM16GB/SSD512GB 充放電回数45回 

ご覧いただきありがとうございます。
丁寧な対応を心掛けますので、どうぞ宜しくお願い致します。

Bootcampに最適！

BootcampでWindows10Proをインストール（認証済み）します。
出荷前に設定するので自由にSSDを振り分けられます。

初期化済みでOSは最新版のMac OS 14.3 Sonomaです。
アクティベーションロック解除確認済みです。
動作は快調で、現状特に気になる点はございません。正常に使用できます。
動作確認のため下記の情報で初期化後に一度セットアップしております。
到着後、電源を入れればすぐにお使いいただける状態です。

バッテリーは「正常」で充放電回数 45回、
バッテリーは消耗部品につき保証対象外ですが現状の状態は問題無くバッテリー駆動が可能です。


出品物は本体のみ。


【商品説明】 

多少の擦れ・小傷があります。
OSは出荷時に最新のOSをインストールして発送します。 
基本的には中古品ですので、品質について神経質な方はご購入をお控え頂きますようお願い致します。 
確認等はインストールからOSの起動、SSDのチェック、BluetoothとWi-fiネット接続とソフトのインストール、
他社製Bluetoothキーボードとマウスの動作や表示のチェック、キーボードチェック、
USBポートのチェックのみとなり、問題なく行いました。


その他は確認できていない部分もあります。 
全ての確認は出来ていない状態なのでご理解願います。


【商品スペック】
■メーカー：Apple
■商品名：MacBook Pro
■モニター：Retina 13.3 インチ （2560x1600）
■OS：Mac OS 14.3 Sonoma
■CPU：Core i7 2.3GHz 
■SSD：フラッシュストレージ 512GB
■メモリ：16GB
■グラフィック：Intel Iris Plus Graphics
■キーボード ： 日本語配列 （バックライト付き）



注意:購入前に必ずプロフィールをご覧ください。 注意事項が記載しています。","72,680",https://jp.mercari.com/item/m29833273686,https://static.mercdn.net/item/detail/orig/photos/m29833273686_1.jpg?1721358682,tomo11111
86,MacBook Pro13インチ 2020年 16GB 1TB Core i7,"シリーズ...Macbook Pro
サイズ...13インチ
CPU...Intel Core i7
メモリ...16GB
HDD...1TB


定価およそ30万円


買い替えのため出品します。

元々DTMや動画編集で使用していて動作は全く問題ありません。
仕事としてDTMやYouTubeを行っていたため、今後そういった作業をされる方でも全く問題なく使用できると思います。

起動、シャットダウン共にスムーズ、スピーディーです。

箱、充電アダプター、充電ケーブル(Type-C)付きです。

「目立った傷なし」とさせていただいておりますが、これは本体のことで、アダプターには傷が少々ありますが動作は問題ありません。","79,500",https://jp.mercari.com/item/m23990819181,https://static.mercdn.net/item/detail/orig/photos/m23990819181_1.jpg?1710162940,ChihiRo
87,MacBook Pro 2020 13インチ 16GB 1TB USキーボード,"MacBook Pro  2020 13-inch  16GB 1TB USキーボード

■スペースグレイ
■13インチ
■2.GHz Intel i5
■SSD 1TB
■メモリ 16GB
■キーボード USキーボード（日本語入力できます）
■充放電回数 65回
■付属品 純正アダプタ、純正ケーブル、化粧箱
■動作確認済み、アクティベーションロック解除済み、初期化済みです

付属品は写真のものですべてです。
キーボードにてかりのあるキーがあります。中古品にご理解いただける方よろしくお願いいたします。
24時間以内の発送を心掛けています。
梱包は慣れておりますので、ご安心ください。

MacBook Air Intel、M1、M2なども出品しています。
Apple
MacBookAir
MacBook Pro
SUマック
マックブックプロ","96,000",https://jp.mercari.com/item/m91522700274,https://static.mercdn.net/item/detail/orig/photos/m91522700274_1.jpg?1727843148,たまりんご
88,MacBook Pro 2020 intel i7 32GB 1TB 13インチ,"Macbook pro 2020 intel i7 1TB 32GB 13インチ

即購入OKです！


2020製MacBookPro Intel corei7
キーボードはUS配列、
32GB、1TBで大容量です。
買い替えのため出品致します。
当時公式サイトで新品を購入しました。
画面やキーボードも綺麗かと思います。


※初期化して送るので、
届きましたらご自身で初期設定と、
OSsonomaへアップデートをして下さい。


【商品状態】
・動作正常、確認済み
・ディスプレイ欠けなし
・バッテリー充放電回数：406回
　状態：正常
・パソコン横に小さな欠けあり
・リンゴ上辺りよく見ないと分からない程度のスレ
　（画像8枚目）
※写真でも状態確認お願い致します。



【キーボード】
US配列

【ストレージ】
メモリ32GB
SSD: 1TB

【カラー】
スペードグレイ

【付属品】
本体のみ
（充電器は付属しません）


【購入時の注意事項】
・あくまで中古品ですので、
　そちらをご了承の上ご購入お願い致します。
・写真に映らない程度の
　小さなスレはあるかもしれません。

・プチプチに包んで袋に入れた後、
　ダンボールに入れて、
　丁寧に梱包して1~２日以内に発送致します。


※こちらフォロー割は適用外です。
宜しくお願い致します。","96,000",https://jp.mercari.com/item/m53103111886,https://static.mercdn.net/item/detail/orig/photos/m53103111886_1.jpg?1719908650,YG✿即購入OK
89,MacBook Pro 2020 512GB 16GB 13インチ スペースグレ,"微細なキズのみで目立ったキズやよごれなく比較的美品です。
中古品にご理解いただける方よろしくお願いいたします。
24時間以内の発送を心掛けています。
梱包は慣れておりますので、ご安心ください。 

MacBook Pro  2020 13-inch 512GB 16GB

■スペースグレイ
■13インチ
■2.0GHz Intel i5
■SSD 512GB
■メモリ 16GB
■キーボードJISキーボード
■付属品 純正充電器、純正ケーブル
■動作確認済み、アクティベーションロック解除、初期しての出荷です。

付属品は写真のものですべてです。

Pro/モデル名···2020

仕上げ···スペースグレイ","75,000",https://jp.mercari.com/item/m36599341788,https://static.mercdn.net/item/detail/orig/photos/m36599341788_1.jpg?1718241914,n-win エビス
90,Macbook pro 2020 16GB 1TB,"MacBook Pro2020です。

充電回数も49回と少なく動作の問題もありません。
液晶キーボードは綺麗な状態です。
本体の傷は画像でご確認ください。

サイズ  13インチ
JISキーボード（USキーボード）
メモリ 16GB
SSD容量 1TB

充電コード紛失のため別の物を用意してます。
外箱は捨ててしまった為、包装して段ボールでお送りします。

ご質問等お気軽にコメントください。

OS...Mac OS

メモリ...16GB

シリーズ...Macbook Pro

サイズ...13インチ

ストレージ... 1TB","85,500",https://jp.mercari.com/item/m19647385888,https://static.mercdn.net/item/detail/orig/photos/m19647385888_1.jpg?1719562377,KUMA
